epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3556.29,0.49087,0.84383,0.88743,0.77203,0.82706,0.84799,0.73892,0.59082,0.82747,0.86282,4.17144e-05,4.17144e-05,4.17144e-05
76,3602.19,0.51631,0.86398,0.89122,0.7098,0.8713,0.84981,0.73782,0.59272,0.81698,0.86894,4.017e-05,4.017e-05,4.017e-05
77,3648.1,0.50444,0.84532,0.88796,0.71972,0.85858,0.84938,0.73871,0.58585,0.82053,0.86474,3.86256e-05,3.86256e-05,3.86256e-05
78,3693.83,0.49355,0.83739,0.88856,0.71182,0.87722,0.85204,0.74412,0.58276,0.8361,0.86558,3.70812e-05,3.70812e-05,3.70812e-05
79,3739.37,0.49728,0.83719,0.88937,0.71752,0.85555,0.84464,0.73431,0.58893,0.81069,0.86769,3.55368e-05,3.55368e-05,3.55368e-05
80,3785.13,0.49906,0.83316,0.885,0.70502,0.87173,0.84099,0.73098,0.5846,0.82873,0.86909,3.39924e-05,3.39924e-05,3.39924e-05
81,3830.71,0.48376,0.8333,0.8889,0.7,0.89631,0.84377,0.73608,0.57988,0.82134,0.8634,3.2448e-05,3.2448e-05,3.2448e-05
82,3877.59,0.50032,0.8379,0.88972,0.69938,0.87051,0.84316,0.73591,0.58946,0.81414,0.86656,3.09036e-05,3.09036e-05,3.09036e-05
83,3923.31,0.49774,0.82476,0.88367,0.68307,0.87448,0.84259,0.73335,0.58642,0.81836,0.86886,2.93592e-05,2.93592e-05,2.93592e-05
84,3968.98,0.48613,0.82429,0.8818,0.74711,0.82389,0.83886,0.72825,0.58763,0.8151,0.86825,2.78148e-05,2.78148e-05,2.78148e-05
85,4014.48,0.4922,0.83259,0.88791,0.71863,0.87272,0.84536,0.73578,0.5909,0.8117,0.86492,2.62704e-05,2.62704e-05,2.62704e-05
86,4060.23,0.48943,0.8201,0.88615,0.71635,0.87486,0.84445,0.7361,0.58122,0.80934,0.86478,2.4726e-05,2.4726e-05,2.4726e-05
87,4105.73,0.49151,0.82566,0.88964,0.73683,0.82918,0.84876,0.73937,0.58953,0.81591,0.86888,2.31816e-05,2.31816e-05,2.31816e-05
88,4151.53,0.48319,0.80449,0.88069,0.7491,0.8394,0.85422,0.74231,0.59332,0.81096,0.86703,2.16372e-05,2.16372e-05,2.16372e-05
89,4197.11,0.49043,0.80345,0.8816,0.75712,0.83383,0.85279,0.74213,0.59242,0.80666,0.86704,2.00928e-05,2.00928e-05,2.00928e-05
90,4242.85,0.48349,0.80059,0.88577,0.74784,0.82763,0.84896,0.73873,0.5844,0.81501,0.86693,1.85484e-05,1.85484e-05,1.85484e-05
91,4378.88,0.44837,0.805,0.85735,0.70461,0.86397,0.84402,0.73464,0.58921,0.85248,0.86338,1.7004e-05,1.7004e-05,1.7004e-05
92,4423.6,0.43569,0.76307,0.85138,0.75972,0.81143,0.85316,0.74049,0.58536,0.86501,0.8637,1.54596e-05,1.54596e-05,1.54596e-05
93,4468.47,0.43697,0.75354,0.8458,0.76003,0.82008,0.84971,0.74105,0.58159,0.83304,0.85812,1.39152e-05,1.39152e-05,1.39152e-05
94,4513.48,0.42507,0.75139,0.84656,0.75145,0.81783,0.85099,0.74244,0.57735,0.83252,0.85967,1.23708e-05,1.23708e-05,1.23708e-05
95,4558.61,0.43023,0.747,0.85225,0.75936,0.80963,0.85432,0.74219,0.57909,0.82499,0.85957,1.08264e-05,1.08264e-05,1.08264e-05
96,4604.16,0.42124,0.72785,0.84713,0.77834,0.80418,0.85559,0.74731,0.57535,0.83202,0.85788,9.282e-06,9.282e-06,9.282e-06
97,4649.38,0.41884,0.73166,0.84694,0.78861,0.7901,0.85584,0.74923,0.58112,0.81757,0.8602,7.7376e-06,7.7376e-06,7.7376e-06
98,4694.57,0.41935,0.73514,0.84173,0.7689,0.81833,0.85621,0.75028,0.57668,0.81604,0.85849,6.1932e-06,6.1932e-06,6.1932e-06
99,4739.66,0.42281,0.73184,0.84456,0.77009,0.808,0.85902,0.75224,0.57706,0.81158,0.85903,4.6488e-06,4.6488e-06,4.6488e-06
100,4784.85,0.4201,0.72425,0.84057,0.78053,0.80537,0.85683,0.74893,0.57897,0.82227,0.85904,3.1044e-06,3.1044e-06,3.1044e-06
